"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"2017.501911",67.8684141389587,20.0438789791176,151.064665123671,7.03871168386657,211.052241938736
"2017.501939",67.8656320326411,20.0271587078729,151.109412252727,7.02512491955525,211.138057805688
"2017.501968",67.8629783748184,20.0105256068361,151.154320603905,7.01160103700652,211.224047870979
"2017.501996",67.8604472323908,19.9939762259033,151.199382158529,6.99813793393234,211.310203259898
"2017.502025",67.8580329465546,19.9775072756632,151.244589266561,6.98473360657928,211.396515504522
"2017.502053",67.8557301200985,19.9611156198397,151.28993462971,6.97138614501888,211.482976525176
"2017.502082",67.8535336052916,19.9447982680932,151.335411285302,6.95809372866593,211.569578612723
"2017.502110",67.8514384923327,19.9285523691637,151.381012590897,6.94485462201347,211.656314411657
"2017.502139",67.8494400983371,19.9123752043374,151.426732209611,6.93166717057359,211.743176903975
"2017.502167",67.8475339568339,19.8962641812238,151.472564096099,6.91852979701423,211.830159393773
"2017.502196",67.845715807751,19.880216827826,151.518502483197,6.90544099748196,211.917255492544
"2017.502225",67.8439815878653,19.864230786892,151.564541869161,6.89239933810191,212.004459105146
"2017.502253",67.8423274216949,19.8483038105322,151.610677005495,6.87940345164606,212.091764416413
"2017.502282",67.8407496128144,19.8324337550915,151.656902885341,6.86645203436165,212.17916587836
"2017.502310",67.8392446355729,19.8166185762629,151.703214732397,6.85354384295187,212.266658197994
"2017.502339",67.8378091271955,19.8008563244318,151.749607990341,6.84067769170147,212.354236325655
"2017.502367",67.8364398802512,19.7851451402395,151.796078312741,6.82785244974018,212.44189544391
"2017.502396",67.8351338354697,19.7694832503558,151.842621553433,6.81506703843726,212.529630956934
"2017.502424",67.833888074891,19.7538689634506,151.889233757329,6.80232042892087,212.617438480393
"2017.502453",67.8326998153322,19.7383006663548,151.935911151654,6.78961163971598,212.70531383177
"2017.502481",67.8315664021575,19.7227768204027,151.982650137585,6.77693973449541,212.793253021148
"2017.502510",67.8304853033354,19.7072959579452,152.029447282268,6.76430381993831,212.881252242404
"2017.502538",67.8294541037723,19.6918566790277,152.076299311204,6.75170304369085,212.969307864804
"2017.502567",67.828470499908,19.6764576482236,152.123203100986,6.7391365924244,213.057416424989
"2017.502595",67.8275322945608,19.6610975916172,152.170155672365,6.72660368998625,213.145574619318
"2017.502624",67.8266373920121,19.6457752939274,152.217154183636,6.71410359563861,213.233779296568
"2017.502652",67.8257837933178,19.6304895957672,152.264195924327,6.70163560238151,213.32202745096
"2017.502681",67.8249695918364,19.615239391031,152.311278309177,6.6891990353556,213.410316215507
"2017.502709",67.8241929689651,19.6000236244055,152.358398872388,6.67679325032109,213.498642855669
"2017.502738",67.8234521900717,19.5848412889961,152.40555526215,6.66441763220903,213.587004763289
"2017.502766",67.8227456006157,19.5696914240656,152.452745235401,6.65207159374153,213.675399450815
"2017.502795",67.8220716224483,19.5545731128785,152.499966652842,6.6397545741177,213.76382454578
"2017.502823",67.8214287502837,19.5394854806458,152.547217474172,6.62746603776198,213.852277785536
"2017.502852",67.8208155483334,19.5244276925675,152.594495753547,6.61520547313205,213.940757012229
"2017.502880",67.820230647096,19.5093989519651,152.641799635242,6.60297239158332,214.029260168003
"2017.502909",67.8196727402962,19.4943984985026,152.689127349514,6.59076632628742,214.117785290422
"2017.502937",67.8191405819639,19.4794256064905,152.736477208659,6.578586831202,214.206330508106
"2017.502966",67.8186329836495,19.4644795832693,152.783847603242,6.56643348008947,214.294894036557
"2017.502995",67.8181488117673,19.4495597676684,152.831236998508,6.55430586558237,214.383474174188
"2017.503023",67.8176869850623,19.4346655285376,152.878643930948,6.54220359829297,214.472069298521
"2017.503052",67.8172464721931,19.4197962633463,152.926067005034,6.53012630596519,214.560677862569
"2017.503080",67.8168262894271,19.4049513968496,152.973504890094,6.51807363266672,214.649298391379
"2017.503109",67.8164254984423,19.3901303798158,153.020956317338,6.50604523801949,214.73792947873
"2017.503137",67.8160432042307,19.3753326878135,153.068420077012,6.49404079646654,214.82656978399
"2017.503166",67.8156785530976,19.3605578200558,153.115895015691,6.4820599965737,214.915218029107
"2017.503194",67.8153307307549,19.3458052982984,153.16338003369,6.47010254036435,215.003872995748
"2017.503223",67.8149989605009,19.3310746657888,153.210874082598,6.45816814268564,215.092533522559
"2017.503251",67.8146825014855,19.3163654862652,153.258376162922,6.44625653060485,215.181198502554
"2017.503280",67.8143806470549,19.3016773430018,153.305885321843,6.43436744283423,215.269866880631
"2017.503308",67.8140927231725,19.287009837899,153.353400651069,6.4225006291831,215.358537651186
"2017.503337",67.8138180869133,19.2723625906156,153.40092128479,6.41065585003592,215.447209855851
"2017.503365",67.8135561250274,19.257735237742,153.448446397731,6.39883287585503,215.535882581327
"2017.503394",67.8133062525705,19.243127432012,153.495975203285,6.38703148670697,215.62455495732
"2017.503422",67.8130679115966,19.2285388415511,153.54350695174,6.37525147181115,215.713226154565
"2017.503451",67.8128405699122,19.2139691491605,153.591040928583,6.36349262910993,215.801895382954
"2017.503479",67.8126237198869,19.1994180516334,153.638576452882,6.35175476485901,215.890561889732
"2017.503508",67.8124168773199,19.1848852591046,153.686112875744,6.34003769323721,215.979224957792
"2017.503536",67.8122195803587,19.1703704944296,153.733649578844,6.32834123597468,216.067883904034
"2017.503565",67.8120313884668,19.1558734925927,153.781185973018,6.31666522199874,216.156538077811
"2017.503593",67.8118518814402,19.1413940001435,153.828721496926,6.30500948709641,216.245186859437
"2017.503622",67.8116806584689,19.1269317746583,153.87625561577,6.29337387359291,216.333829658771
"2017.503650",67.8115173372414,19.1124865842282,153.923787820076,6.28175823004544,216.422465913856
"2017.503679",67.8113615530911,19.0980582069701,153.97131762453,6.27016241095123,216.511095089631
"2017.503708",67.8112129581817,19.0836464305605,154.018844566867,6.25858627646969,216.599716676696
